Title,Artist,# of Tracks,Color,# of LPs,Jacket Type,Release
Midnight Marauders,A Tribe Called Quest,14,Black,1,Sleeve,1993-11-09
We Buy Diabetic Test Strips,Armand Hammer,15,Maroon,2,Gate-Fold,2023-09-29
dont smile at me,Billie Eilish,9,Red and Yellow,1,Sleeve,2017-12-22
"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,14,Yellow,1,Gate-Fold,2019-03-29
Happier Than Ever,Billie Eilish,16,Black,2,Gate-Fold,2021-07-30
Maps,billy woods,17,Orange,1,Sleeve,2023-05-05
"Desire, I Want To Turn Into You",Caroline Polachek,12,Gold and Brown Mix,1,Sleeve,2023-02-14
Cheat Codes,Danger Mouse,12,Black,1,Sleeve,2022-08-12
Atrocity Exhibition,Danny Brown,15,Black,2,Sleeve,2016-09-30
uknowhatimsayin¿,Danny Brown,11,Black,1,Sleeve,2019-10-04
Quaranta,Danny Brown,11,Black,1,Sleeve,2023-11-17
The Money Store,Death Grips,13,Black,1,Sleeve,2012-04-23
No Love Deep Web,Death Grips,13,Translucent Green,1,Sleeve,2012-10-01
Imperial,Denzel Curry,10,Black,1,Sleeve,2016-10-14
TA13OO,Denzel Curry,13,Red and White Mix,1,Sleeve,2018-07-27
Melt My Eyez See Your Future,Denzel Curry,14,Black,1,Sleeve,2022-03-25
The Ghost~Pop Tape,Devon Hendryx,17,Blue,2,Sleeve,2023-10-23
Blonde,Frank Ocean,17,Black,2,Gate-Fold,2016-08-20
Piñata,Freddie Gibbs,17,"Black, Clear, and Brown Mix",2,Sleeve,2014-03-18
Born Sinner (Deluxe Version),J. Cole,21,Gold,2,Gate-Fold,2013-06-18
2014 Forest Hills Drive,J. Cole,13,Black,2,Gate-Fold,2014-12-09
KOD,J. Cole,12,Pink,1,Gate-Fold,2018-04-20
The Off-Season,J. Cole,12,Black,1,Gate-Fold,2021-05-14
The Never Story,JID,12,Black,1,Sleeve,2017-03-10
The Forever Story,JID,15,Black,2,Sleeve,2022-08-26
All My Heroes Are Cornballs,JPEGMAFIA,18,Black,2,Sleeve,2019-09-13
LP! OFFLINE!,JPEGMAFIA,20,Black and Clear,4,Gate-Fold,2021-10-31
SCARING THE HOES: DLC PACK,JPEGMAFIA,4,Black and Purple,1,Sleeve,2023-07-11
SCARING THE HOES,"JPEGMAFIA, Danny Brown",14,White,1,Gate-Fold,2023-03-24
Red Moon In Venus,Kali Uchis,15,Black,1,Sleeve,2023-03-03
808s & Heartbreak,Kanye West,12,Black,2,Tri-Fold,2008-11-24
My Beautiful Dark Twisted Fantasy,Kanye West,13,Black,3,Tri-Fold,2010-11-22
Donda (Deluxe),Kanye West,32,Black,4,Quad-Fold,2021-11-14
BUBBA,KAYTRANADA,17,Black,2,Gate-Fold,2019-12-13
"good kid, m.A.A.d city",Kendrick Lamar,13,Translucent Black,2,Gate-Fold,2012
"good kid, m.A.A.d city (Deluxe)",Kendrick Lamar,17,Black,2,Gate-Fold,2012
To Pimp A Butterfly,Kendrick Lamar,16,Black,2,Gate-Fold,2015-03-16
untitled unmastered.,Kendrick Lamar,8,Black,1,Sleeve,2016-03-04
DAMN.,Kendrick Lamar,14,Translucent Green,2,Gate-Fold,2017-04-14
Black Panther The Album Music From And Inspired By,Kendrick Lamar,14,Translucent Red,2,Gate-Fold,2018-02-09
Mr. Morale & The Big Steppers,Kendrick Lamar,19,Gold,2,Sleeve,2022-05-13
LOUIE,Kenny Beats,17,Black,1,Gate-Fold,2022-08-31
Man On The Moon: The End Of Day (Deluxe),Kid Cudi,18,Black,2,Gate-Fold,2009-01-01
KIDS SEE GHOSTS,KIDS SEE GHOSTS,7,Translucent Pink,1,Sleeve,2018-06-08
Sometimes I Might Be Introvert,Little Simz,19,Translucent White,2,Gate-Fold,2021-09-03
Under Pressure (Deluxe),Logic,15,Black,2,Sleeve,2014-10-21
No Pressure,Logic,15,Black,2,Gate-Fold,2020-07-24
Vinyl Days,Logic,30,Black,2,Sleeve,2022-06-17
Lupe Fiasco's The Cool,Lupe Fiasco,19,Translucent Black and Gold,2,Sleeve,2007-01-01
DRILL MUSIC IN ZION,Lupe Fiasco,10,Black,2,Gate-Fold,2022-06-24
Madvillainy,Madvillain,22,Black,2,Sleeve,2004-03-24
What's Going On,Marvin Gaye,9,Translucent Green,1,Gate-Fold,1971-05-21
Beloved! Paradise! Jazz!?,McKinley Dixon,10,Milky Green,1,Sleeve,2023-06-02
The Miseducation of Lauryn Hill,Ms. Lauryn Hill,16,Black,2,Sleeve,1998-08-25
Illmatic,Nas,10,Clear,1,Sleeve,1994-04-19
King's Disease,Nas,13,Translucent Red,2,Gate-Fold,2020-08-21
It's Almost Dry,Pusha T,12,Black,1,Sleeve,2022-04-22
RTJ4,Run The Jewels,11,Pink,2,Gate-Fold,2020-06-03
Lahai,Sampha,14,Gray,1,Sleeve,2023-10-20
Ctrl,SZA,14,Translucent Green,2,Gate-Fold,2017-06-09
SOS,SZA,23,Black,2,Sleeve,2022-12-09
Things Fall Apart,The Roots,18,Black,2,Sleeve,1999-02-23
How I Got Over,The Roots,14,Black,1,Sleeve,2010-06-22
Undun,The Roots,14,Black,1,Gate-Fold,2011-12-02
UTOPIA,Travis Scott,19,Black,2,Gate-Fold,2023-07-28
Wolf,"Tyler, The Creator",18,Pink,2,Gate-Fold,2013-04-01
Flower Boy,"Tyler, The Creator",14,Black,2,Gate-Fold,2017-07-21
IGOR,"Tyler, The Creator",12,Black,1,Gate-Fold,2019-05-17
CALL ME IF YOU GET LOST,"Tyler, The Creator",16,Black,2,Gate-Fold,2021-06-25
Enter The Wu-Tang (36 Chambers),Wu-Tang Clan,9,Black,1,Sleeve,1993-11-09
